n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,73090860.759,73090870.601,0.1206,34.8,NaN
1,73091360.785,73091370.621,0.1206,34.8,500.026
2,73094016.522,73094026.366,0.1206,34.8,2655.737
3,73094515.689,73094525.558,0.1206,34.8,499.167
4,73095016.533,73095026.363,0.1206,34.8,500.844
5,73095516.515,73095526.368,0.1206,34.8,499.982
6,73096016.519,73096026.369,0.1206,34.8,500.004
