n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,73240311.933,73240356.354,0.1907,34.9,NaN
1,73240811.557,73240856.366,0.1907,34.9,499.625
2,73241311.161,73241356.361,0.1907,34.9,499.604
