n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,72852521.076,72852530.924,0.1206,34.8,NaN
1,72853037.726,72853047.563,0.1206,34.8,516.649
2,72853537.753,72853547.586,0.1206,34.8,500.027
3,72854036.919,72854046.751,0.1206,34.8,499.166
4,72854537.764,72854547.601,0.1206,34.8,500.844
