n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,72897330.735,72897340.598,0.1206,34.8,NaN
1,72897830.717,72897840.580,0.1206,34.8,499.982
2,72898330.721,72898340.615,0.1206,34.8,500.004
3,72898830.726,72898840.570,0.1206,34.8,500.005
4,72899330.730,72899340.584,0.1206,34.8,500.004
