n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,72784635.590,72784646.257,0.1206,34.8,NaN
1,72785135.572,72785145.395,0.1206,34.8,499.982
2,72785634.738,72785644.562,0.1206,34.8,499.166
3,72786385.131,72786394.960,0.3238,200.0,750.393
