stamp_ms_bin_start,max_amp
77055605,0.20710
77055610,0.24122
77055615,0.23401
77055620,0.20413
77055625,0.16560
77055630,0.12309
77055635,0.08651
77055640,0.04471
77055645,0.01222
77055650,0.00193
77056105,0.20407
77056110,0.24120
77056115,0.23405
77056120,0.20414
77056125,0.16562
77056130,0.12309
77056135,0.08652
77056140,0.04471
77056145,0.01222
77056150,0.00194
77056605,0.23006
77056610,0.24121
77056615,0.23009
77056620,0.19829
77056625,0.15881
77056630,0.11809
77056635,0.08000
77056640,0.04037
77056645,0.01087
77056650,0.00193
77057105,0.21009
77057110,0.24125
77057115,0.23406
77057120,0.20415
77057125,0.16562
77057130,0.12309
77057135,0.08651
77057140,0.04472
77057145,0.01222
77057150,0.00193
77057605,0.21010
77057610,0.24124
77057615,0.23406
77057620,0.20410
77057625,0.16557
77057630,0.12307
77057635,0.09360
77057640,0.05294
77057645,0.01222
77057650,0.00193
