n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,77055598.085,77055607.941,0.2412,34.9,NaN
1,77056098.091,77056107.959,0.2412,34.9,500.005
2,77056597.256,77056607.096,0.2412,34.9,499.166
3,77057098.077,77057107.930,0.2413,34.9,500.821
4,77057598.083,77057607.926,0.2412,34.9,500.005
