press,beep index,target ms,onset ms,lateness ms
18,4,71377801.895200,71377827.445357,25.550157
18,5,71378301.895200,71378327.425457,25.530257
19,1,71379675.600300,71379701.115702,25.515402
19,2,71380175.600300,71380200.263124,24.662824
19,3,71380675.600300,71380701.122802,25.522502
19,4,71381175.600300,71381201.126602,25.526302
19,5,71381675.600300,71381701.107526,25.507226
20,1,71383022.626400,71383048.130153,25.503753
20,2,71383522.626400,71383548.111753,25.485353
20,3,71384022.626400,71384048.141253,25.514853
20,4,71384522.626400,71384548.136029,25.509629
20,5,71385022.626400,71385048.122653,25.496253
21,1,71386402.243200,71386427.769241,25.526041
21,2,71386902.243200,71386927.749566,25.506366
21,3,71387402.243200,71387427.767466,25.524266
21,4,71387902.243200,71387927.733490,25.490290
21,5,71388402.243200,71388428.554814,26.311614
22,1,71389748.196100,71389773.693833,25.497733
22,2,71390248.196100,71390272.880906,24.684806
22,3,71390748.196100,71390773.705033,25.508933
22,4,71391248.196100,71391273.699533,25.503433
22,5,71391748.196100,71391773.705233,25.509133
23,1,71393130.214600,71393154.902271,24.687671
23,2,71393630.214600,71393655.720398,25.505798
23,3,71394130.214600,71394155.747573,25.532973
23,4,71394630.214600,71394655.703522,25.488922
23,5,71395130.214600,71395156.569598,26.354998
24,1,71396492.984400,71396517.667060,24.682660
24,2,71396992.984400,71397018.493962,25.509562
24,3,71397492.984400,71397518.509862,25.525462
24,4,71397992.984400,71398018.496262,25.511862
24,5,71398492.984400,71398518.532662,25.548262
25,1,71399844.671900,71399870.182491,25.510591
25,2,71400344.671900,71400370.173691,25.501791
25,3,71400844.671900,71400870.240691,25.568791
25,4,71401344.671900,71401370.183191,25.511291
25,5,71401844.671900,71401871.000815,26.328915
