n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,76988120.037,76988129.876,0.2412,34.9,NaN
1,76988620.042,76988629.876,0.2412,34.9,500.005
2,76989120.047,76989129.881,0.2411,34.9,500.005
3,76989620.052,76989629.883,0.2412,34.9,500.005
4,76990120.057,76990130.732,0.2412,34.9,500.004
