stamp_ms_bin_start,max_amp
76356155,0.05501
76356160,0.04127
76356165,0.03768
76356170,0.03537
76356175,0.03837
76356180,0.03349
76356185,0.02333
76356190,0.01072
76356195,0.00249
76356200,0.00284
76356205,0.00110
76356210,0.00059
76356355,0.00252
76356360,0.16942
76356365,0.18440
76356370,0.05086
76356375,0.00706
76356490,0.00294
76356495,0.16925
76356500,0.18325
76356505,0.05074
76356510,0.00710
76356590,0.00263
76356595,0.16916
76356600,0.18384
76356605,0.05045
76357345,0.21837
76357350,0.24121
76357355,0.23404
76357360,0.20415
76357365,0.16130
76357370,0.11812
76357375,0.07999
76357380,0.04037
76357385,0.01087
76357390,0.00193
76357845,0.21834
76357850,0.24121
76357855,0.23401
76357860,0.20413
76357865,0.16128
76357870,0.11807
76357875,0.08001
76357880,0.04039
76357885,0.01088
76357890,0.00193
76358345,0.21838
76358350,0.24123
76358355,0.23400
76358360,0.20409
76358365,0.16126
76358370,0.11807
76358375,0.08000
76358380,0.04037
76358385,0.01087
76358390,0.00193
76358845,0.21836
76358850,0.24121
76358855,0.23406
76358860,0.20411
76358865,0.16282
76358870,0.12309
76358875,0.08650
76358880,0.04039
76358885,0.01088
76358890,0.00194
76359345,0.20408
76359350,0.24122
76359355,0.23748
76359360,0.20399
76359365,0.15880
76359370,0.11808
76359375,0.08001
76359380,0.04038
76359385,0.01087
76359390,0.00193
76360710,0.14769
76360715,0.24127
76360720,0.24060
76360725,0.21527
76360730,0.17913
76360735,0.13497
76360740,0.09910
76360745,0.05850
76360750,0.02111
76360755,0.00321
76361215,0.24069
76361220,0.24118
76361225,0.22067
76361230,0.18582
76361235,0.14422
76361240,0.10630
76361245,0.06620
76361250,0.02784
76361255,0.00717
76361260,0.00058
76361715,0.24065
76361720,0.24122
76361725,0.22066
76361730,0.18583
76361735,0.14418
76361740,0.10628
76361745,0.06621
76361750,0.03261
76361755,0.00716
76361760,0.00058
76361805,0.00599
76361810,0.03195
76361815,0.04614
76361820,0.05397
76361825,0.05393
76361830,0.05166
76361835,0.05501
76361840,0.04127
76361845,0.03767
76361850,0.03536
76361855,0.03837
76361860,0.03349
76361865,0.02333
76361870,0.01261
76361875,0.00319
76361880,0.00284
76361885,0.00111
76361890,0.00059
76362035,0.00252
76362040,0.16942
76362045,0.18439
76362050,0.05085
76362055,0.00707
76362170,0.00294
76362175,0.16925
76362180,0.18325
76362185,0.05073
76362190,0.00710
76362215,0.24070
76362220,0.24118
76362225,0.22067
76362230,0.19209
76362235,0.15135
76362240,0.10627
76362245,0.06619
76362250,0.02787
76362255,0.00717
76362260,0.00057
76362270,0.00264
76362275,0.16916
76362280,0.18384
76362285,0.05044
76362715,0.24064
76362720,0.24122
76362725,0.22066
76362730,0.18579
76362735,0.14418
76362740,0.10629
76362745,0.06622
76362750,0.02785
76362755,0.00716
76362760,0.00058
76364070,0.23764
76364075,0.24125
76364080,0.22549
76364085,0.19202
76364090,0.15135
76364095,0.11149
76364100,0.07257
76364105,0.03261
76364110,0.00716
76364115,0.00079
76364570,0.23761
76364575,0.24122
76364580,0.22542
76364585,0.19198
76364590,0.15136
76364595,0.11150
76364600,0.07255
76364605,0.03137
76364610,0.00717
76364615,0.00080
76365070,0.23761
76365075,0.24120
76365080,0.22550
76365085,0.19205
76365090,0.15132
76365095,0.11149
76365100,0.07255
76365105,0.03176
76365110,0.00770
76365115,0.00079
76365570,0.23762
76365575,0.24120
76365580,0.22552
76365585,0.19204
76365590,0.15877
76365595,0.11806
76365600,0.07256
76365605,0.03248
76365610,0.00716
76365615,0.00079
76366070,0.23060
76366075,0.24120
76366080,0.22549
76366085,0.19204
76366090,0.15134
76366095,0.11147
76366100,0.07254
76366105,0.03246
76366110,0.00716
76366115,0.00079
