n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,73355919.484,73355929.320,0.2413,34.9,NaN
1,73356419.489,73356430.162,0.2412,34.9,500.005
2,73356919.493,73356929.330,0.2412,34.9,500.004
3,73357419.498,73357429.339,0.2412,34.9,500.005
4,73357919.504,73357929.326,0.2412,34.9,500.005
