stamp_ms_bin_start,max_amp
73355925,0.18870
73355930,0.24125
73355935,0.23986
73355940,0.21526
73355945,0.17913
73355950,0.14429
73355955,0.10626
73355960,0.05826
73355965,0.01908
73355970,0.00325
73356430,0.24069
73356435,0.24122
73356440,0.21530
73356445,0.17913
73356450,0.13498
73356455,0.09908
73356460,0.05824
73356465,0.01908
73356470,0.00325
73356925,0.18871
73356930,0.24123
73356935,0.23989
73356940,0.21535
73356945,0.17916
73356950,0.13502
73356955,0.09910
73356960,0.05823
73356965,0.01908
73356970,0.00325
73357425,0.18871
73357430,0.24124
73357435,0.23986
73357440,0.21530
73357445,0.17915
73357450,0.13502
73357455,0.09909
73357460,0.05824
73357465,0.01907
73357470,0.00324
73357925,0.18871
73357930,0.24121
73357935,0.23988
73357940,0.21534
73357945,0.17918
73357950,0.13502
73357955,0.09910
73357960,0.05824
73357965,0.01909
73357970,0.00325
