n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,72751298.729,72751308.570,0.1206,34.8,NaN
1,72751797.919,72751807.776,0.1206,34.8,499.190
2,72752298.786,72752308.638,0.1206,34.8,500.867
3,72752798.746,72752808.586,0.1206,34.8,499.960
4,72753298.774,72753308.607,0.1206,34.8,500.028
