n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,76956327.564,76956337.404,0.2412,34.9,NaN
1,76956827.570,76956837.408,0.2412,34.9,500.006
2,76957327.575,76957337.411,0.2412,34.9,500.005
3,76957827.581,76957837.436,0.2413,34.9,500.005
4,76958327.588,76958338.260,0.2412,34.9,500.007
