n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,72460829.269,72460839.128,0.4182,18.0,NaN
1,72463549.293,72463559.140,0.3787,12.0,2720.024
2,72474249.392,72474259.229,0.3787,12.0,10700.100
3,72476929.414,72476939.265,0.4182,18.0,2680.022
