n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,73346085.016,73346094.869,0.2413,34.9,NaN
1,73346585.021,73346595.695,0.2412,34.9,500.005
2,73347085.026,73347094.893,0.2412,34.9,500.005
3,73347585.031,73347594.879,0.2413,34.9,500.005
4,73348085.037,73348094.885,0.2412,34.9,500.005
