press,beep index,target ms,onset ms,lateness ms
14,1,71567260.481800,71567324.495904,64.014104
14,2,71567760.481800,71567824.506704,64.024904
14,3,71568260.481800,71568324.502104,64.020304
14,4,71568760.481800,71568824.509204,64.027404
14,5,71569260.481800,71569324.523204,64.041404
15,1,71570608.008700,71570664.524404,56.515704
15,2,71571108.008700,71571164.528604,56.519904
15,3,71571608.008700,71571664.560904,56.552204
15,4,71572108.008700,71572164.535804,56.527104
15,5,71572608.008700,71572664.541704,56.533004
16,1,71573955.329500,71574014.552504,59.223004
16,2,71574455.329500,71574514.553204,59.223704
16,3,71574955.329500,71575014.561104,59.231604
16,4,71575455.329500,71575514.561504,59.232004
16,5,71575955.329500,71576015.407004,60.077504
17,1,71577356.712900,71577414.578404,57.865504
17,2,71577856.712900,71577914.586604,57.873704
17,3,71578356.712900,71578415.426704,58.713804
17,4,71578856.712900,71578914.616704,57.903804
17,5,71579356.712900,71579414.618504,57.905604
18,1,71580744.019900,71580804.612304,60.592404
18,2,71581244.019900,71581304.611504,60.591604
18,3,71581744.019900,71581804.631004,60.611104
18,4,71582244.019900,71582304.621104,60.601204
18,5,71582744.019900,71582804.625804,60.605904
19,1,71584094.467100,71584154.652304,60.185204
19,2,71584594.467100,71584655.478404,61.011304
19,3,71585094.467100,71585154.655104,60.188004
19,4,71585594.467100,71585654.666404,60.199304
19,5,71586094.467100,71586154.661004,60.193904
20,1,71587472.575000,71587535.502904,62.927904
20,2,71587972.575000,71588034.664904,62.089904
20,3,71588472.575000,71588534.672304,62.097304
20,4,71588972.575000,71589034.679604,62.104604
20,5,71589472.575000,71589534.678104,62.103104
21,1,71590825.333500,71590884.691004,59.357504
21,2,71591325.333500,71591384.702304,59.368804
21,3,71591825.333500,71591884.712804,59.379304
21,4,71592325.333500,71592384.697604,59.364104
21,5,71592825.333500,71592884.706404,59.372904
22,1,71594221.357400,71594284.719604,63.362204
22,2,71594721.357400,71594784.720704,63.363304
22,3,71595221.357400,71595284.728904,63.371504
22,4,71595721.357400,71595784.730304,63.372904
22,5,71596221.357400,71596284.741204,63.383804
23,1,71597600.037000,71597664.749804,64.712804
23,2,71598100.037000,71598164.762104,64.725104
23,3,71598600.037000,71598664.753704,64.716704
23,4,71599100.037000,71599164.785404,64.748404
23,5,71599600.037000,71599664.794404,64.757404
24,1,71600979.470000,71601044.779504,65.309504
24,2,71601479.470000,71601544.782104,65.312104
24,3,71601979.470000,71602044.782604,65.312604
24,4,71602479.470000,71602544.786704,65.316704
24,5,71602979.470000,71603044.786304,65.316304
25,1,71604349.437500,71604414.830304,65.392804
25,2,71604849.437500,71604914.809404,65.371904
25,3,71605349.437500,71605415.650904,66.213404
25,4,71605849.437500,71605914.817104,65.379604
25,5,71606349.437500,71606414.820104,65.382604
