press,beep index,target ms,onset ms,lateness ms
11,4,76602750.309270,76602810.792930,60.483660
11,5,76603250.309270,76603310.784859,60.475588
12,1,76604650.341803,76604710.822378,60.480575
12,2,76605150.341803,76605210.794507,60.452703
12,3,76605650.341803,76605710.778735,60.436932
12,4,76606150.341803,76606210.790563,60.448760
12,5,76606650.341803,76606710.790392,60.448589
13,1,76608053.253303,76608110.803011,57.549708
13,2,76608553.253303,76608610.799239,57.545936
13,3,76609053.253303,76609110.780668,57.527365
13,4,76609553.253303,76609610.790496,57.537193
13,5,76610053.253303,76610110.790725,57.537422
14,1,76611409.125137,76611470.778698,61.653562
14,2,76611909.125137,76611970.806226,61.681090
14,3,76612409.125137,76612470.789355,61.664218
14,4,76612909.125137,76612970.774483,61.649347
14,5,76613409.125137,76613470.809211,61.684075
15,1,76614787.801211,76614850.771558,62.970347
15,2,76615287.801211,76615350.766486,62.965275
15,3,76615787.801211,76615850.770015,62.968803
15,4,76616287.801211,76616350.767843,62.966632
15,5,76616787.801211,76616850.759272,62.958060
16,1,76618175.295586,76618240.774004,65.478418
16,2,76618675.295586,76618740.769433,65.473847
16,3,76619175.295586,76619240.775261,65.479675
16,4,76619675.295586,76619741.569980,66.274394
16,5,76620175.295586,76620240.790518,65.494931
17,1,76621558.611908,76621620.787564,62.175656
17,2,76622058.611908,76622120.748093,62.136184
17,3,76622558.611908,76622621.562012,62.950104
17,4,76623058.611908,76623120.748950,62.137041
17,5,76623558.611908,76623620.768778,62.156869
18,1,76624916.740816,76624980.728051,63.987235
18,2,76625416.740816,76625480.759979,64.019163
18,3,76625916.740816,76625981.553599,64.812782
18,4,76626416.740816,76626480.725037,63.984220
18,5,76626916.740816,76626980.764965,64.024148
19,1,76628282.001943,76628340.753238,58.751294
19,2,76628782.001943,76628840.740066,58.738123
19,3,76629282.001943,76629341.545086,59.543142
19,4,76629782.001943,76629840.758123,58.756179
19,5,76630282.001943,76630340.762351,58.760408
20,1,76631638.002276,76631700.755225,62.752949
20,2,76632138.002276,76632200.725253,62.722978
20,3,76632638.002276,76632701.536972,63.534697
20,4,76633138.002276,76633200.716910,62.714635
20,5,76633638.002276,76633700.707339,62.705063
21,1,76635029.151409,76635090.710772,61.559363
21,2,76635529.151409,76635590.713700,61.562291
21,3,76636029.151409,76636090.711828,61.560419
21,4,76636529.151409,76636590.714557,61.563148
21,5,76637029.151409,76637090.713385,61.561976
22,1,76638390.844176,76638450.730058,59.885882
22,2,76638890.844176,76638950.725286,59.881110
22,3,76639390.844176,76639450.729815,59.885638
22,4,76639890.844176,76639950.724243,59.880067
22,5,76640390.844176,76640450.722472,59.878295
23,1,76641744.951830,76641800.698259,55.746429
23,2,76642244.951830,76642301.511978,56.560148
23,3,76642744.951830,76642800.698415,55.746585
23,4,76643244.951830,76643300.671644,55.719814
23,5,76643744.951830,76643800.705872,55.754042
24,1,76645098.428091,76645160.719745,62.291654
24,2,76645598.428091,76645661.503664,63.075574
24,3,76646098.428091,76646160.678302,62.250211
24,4,76646598.428091,76646660.674931,62.246840
24,5,76647098.428091,76647160.669659,62.241568
25,1,76648481.795712,76648541.496696,59.700984
25,2,76648981.795712,76649040.675634,58.879921
25,3,76649481.795712,76649540.678662,58.882950
25,4,76649981.795712,76650040.693490,58.897778
25,5,76650481.795712,76650540.679119,58.883406
