n,fit_ms,stamp_ms,peak,loud_ms,gap_from_previous_ms
0,76921992.510,76922002.326,0.2412,34.9,NaN
1,76922492.513,76922502.359,0.2412,34.9,500.003
2,76922992.515,76923002.354,0.2412,34.9,500.002
3,76923492.518,76923502.357,0.2411,34.9,500.003
4,76923992.519,76924002.370,0.2412,34.9,500.002
