stamp_ms_bin_start,max_amp
73365700,0.24061
73365705,0.24120
73365710,0.22068
73365715,0.18585
73365720,0.14339
73365725,0.10531
73365730,0.06055
73365735,0.02106
73365740,0.00317
73366200,0.24064
73366205,0.24121
73366210,0.22067
73366215,0.18584
73366220,0.14252
73366225,0.10535
73366230,0.06244
73366235,0.02105
73366240,0.00317
73366700,0.24063
73366705,0.24120
73366710,0.22068
73366715,0.18584
73366720,0.14340
73366725,0.10600
73366730,0.06055
73366735,0.02104
73366740,0.00316
73367200,0.24063
73367205,0.24115
73367210,0.22067
73367215,0.18588
73367220,0.14252
73367225,0.10531
73367230,0.06800
73367235,0.02776
73367240,0.00317
73367700,0.24066
73367705,0.24117
73367710,0.22552
73367715,0.19205
73367720,0.14341
73367725,0.10533
73367730,0.06057
73367735,0.02104
73367740,0.00317
