press,beep index,target ms,onset ms,lateness ms
22,5,76147434.131486,76147496.416054,62.284568
23,1,76148797.622033,76148856.415127,58.793094
23,2,76149297.622033,76149356.416255,58.794222
23,3,76149797.622033,76149856.384484,58.762451
23,4,76150297.622033,76150356.388212,58.766179
23,5,76150797.622033,76150856.387641,58.765608
24,1,76152151.807586,76152216.402814,64.595228
24,2,76152651.807586,76152716.404642,64.597056
24,3,76153151.807586,76153216.382771,64.575185
24,4,76153651.807586,76153716.397599,64.590013
24,5,76154151.807586,76154216.396227,64.588642
25,1,76155541.411437,76155606.408860,64.997424
25,2,76156041.411437,76156106.383289,64.971852
25,3,76156541.411437,76156606.393817,64.982380
25,4,76157041.411437,76157106.385046,64.973609
25,5,76157541.411437,76157606.392574,64.981137
