press,beep index,target ms,onset ms,lateness ms
15,3,76207332.679799,76207358.171589,25.491790
15,4,76207832.679799,76207858.215569,25.535770
15,5,76208332.679799,76208359.019288,26.339489
16,1,76209698.841816,76209723.520508,24.678692
16,2,76210198.841816,76210224.362929,25.521114
16,3,76210698.841816,76210724.295231,25.453415
16,4,76211198.841816,76211224.318911,25.477095
16,5,76211698.841816,76211724.350163,25.508347
17,1,76213106.244065,76213131.763616,25.519551
17,2,76213606.244065,76213632.565460,26.321395
17,3,76214106.244065,76214131.748597,25.504532
17,4,76214606.244065,76214631.725050,25.480985
17,5,76215106.244065,76215131.738954,25.494889
18,1,76216454.710782,76216480.211884,25.501101
18,2,76216954.710782,76216980.247812,25.537029
18,3,76217454.710782,76217481.036231,26.325449
18,4,76217954.710782,76217980.205217,25.494435
18,5,76218454.710782,76218479.398980,24.688197
19,1,76219824.723056,76219850.253932,25.530877
19,2,76220324.723056,76220350.203686,25.480630
19,3,76220824.723056,76220850.237689,25.514634
19,4,76221324.723056,76221350.276393,25.553337
19,5,76221824.723056,76221850.242070,25.519015
20,1,76223200.849359,76223226.364461,25.515102
20,2,76223700.849359,76223726.372814,25.523454
20,3,76224200.849359,76224226.323467,25.474107
20,4,76224700.849359,76224725.522753,24.673394
20,5,76225200.849359,76225226.367799,25.518439
21,1,76226568.780256,76226595.117156,26.336900
21,2,76227068.780256,76227094.303494,25.523238
21,3,76227568.780256,76227594.278347,25.498091
21,4,76228068.780256,76228094.305351,25.525095
21,5,76228568.780256,76228594.294279,25.514023
22,1,76229937.698242,76229963.194116,25.495874
22,2,76230437.698242,76230463.180469,25.482227
22,3,76230937.698242,76230962.415155,24.716913
22,4,76231437.698242,76231463.255401,25.557159
22,5,76231937.698242,76231963.211305,25.513063
23,1,76233306.394030,76233331.904511,25.510481
23,2,76233806.394030,76233831.924491,25.530461
23,3,76234306.394030,76234331.900644,25.506614
23,4,76234806.394030,76234831.887972,25.493942
23,5,76235306.394030,76235331.930900,25.536870
24,1,76236691.875727,76236716.565896,24.690168
24,2,76237191.875727,76237217.370642,25.494914
24,3,76237691.875727,76237717.369770,25.494042
24,4,76238191.875727,76238217.390774,25.515046
24,5,76238691.875727,76238718.193017,26.317290
25,1,76240076.481935,76240101.988071,25.506136
25,2,76240576.481935,76240601.995724,25.513788
25,3,76241076.481935,76241101.985328,25.503393
25,4,76241576.481935,76241601.951205,25.469270
25,5,76242076.481935,76242101.995684,25.513749
